barangay,dateCommitted,timeCommitted,incidentType,offense,offenseType
ALAPAN I-A,2024-06-11,02:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA III,2024-06-12,18:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA III,2024-06-12,18:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
TANZANG LUMA IV (SOUTHERN CITY),2024-06-12,13:37:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
TANZANG LUMA IV (SOUTHERN CITY),2024-06-12,13:37:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-D,2024-06-12,13:22:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-06-12,14:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-06-12,14:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ALAPAN I-C,2024-06-13,15:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN I-C,2024-06-13,15:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
TANZANG LUMA I,2024-06-13,16:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA II,2024-06-13,16:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PINAGBUKLOD,2024-06-13,08:20:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PAG-ASA III,2024-06-14,22:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG II-C,2024-06-14,21:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-A,2024-06-14,13:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-E,2024-06-14,04:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUHAY NA TUBIG,2024-06-15,19:20:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN I-B,2024-06-15,13:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUCANDALA IV,2024-06-15,18:20:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA II,2024-06-15,14:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN I-B,2024-06-15,13:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-C,2024-06-15,11:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUHAY NA TUBIG,2024-06-15,10:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA IV,2024-06-15,06:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA IV,2024-06-15,06:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ALAPAN I-C,2024-06-16,16:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN I-C,2024-06-16,16:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
BUCANDALA IV,2024-06-16,18:50:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN I-C,2024-06-16,17:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-06-16,14:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-06-16,01:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-06-16,01:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
PASONG BUAYA II,2024-06-17,19:28:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PAG-ASA III,2024-06-17,22:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN II-A,2024-06-17,02:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO III,2024-06-18,19:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-06-18,20:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-06-18,20:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ALAPAN I-C,2024-06-18,19:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-06-18,17:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO IV,2024-06-18,12:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG II-E,2024-06-18,12:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUHAY NA TUBIG,2024-06-19,11:20:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CARSADANG BAGO II,2024-06-19,11:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA II,2024-06-19,23:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
PASONG BUAYA II,2024-06-19,23:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA IV,2024-06-19,17:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG II-A,2024-06-19,15:55:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA VIII,2024-06-19,13:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA VIII,2024-06-19,13:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-D,2024-06-19,13:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PAG-ASA III,2024-06-19,01:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PAG-ASA III,2024-06-19,01:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-D,2024-06-20,19:50:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUHAY NA TUBIG,2024-06-20,16:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-F,2024-06-20,08:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA II,2024-06-20,06:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA VIII,2024-06-21,22:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA VIII,2024-06-21,22:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
PALICO III,2024-06-21,17:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA II,2024-06-21,10:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-A,2024-06-22,10:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA IX,2024-06-22,18:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-D,2024-06-22,15:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CARSADANG BAGO I,2024-06-22,13:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CARSADANG BAGO I,2024-06-22,13:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
MALAGASANG I-B,2024-06-22,12:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CARSADANG BAGO I,2024-06-22,11:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CARSADANG BAGO II,2024-06-22,08:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-G,2024-06-23,09:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-G,2024-06-23,09:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
POBLACION I-C,2024-06-23,17:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA VII,2024-06-23,13:02:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-06-23,09:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CARSADANG BAGO II,2024-06-24,19:50:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
TOCLONG II-B,2024-06-24,19:05:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-06-24,18:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-06-24,14:46:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA II,2024-06-24,12:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-06-24,06:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA I,2024-06-24,06:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
TANZANG LUMA I,2024-06-25,06:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
TANZANG LUMA I,2024-06-25,22:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA VII,2024-06-25,18:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN I-B,2024-06-25,14:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CARSADANG BAGO I,2024-06-25,11:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-B,2024-06-25,09:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-B,2024-06-25,09:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
TANZANG LUMA I,2024-06-25,08:20:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-B,2024-06-26,20:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-B,2024-06-26,18:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-B,2024-06-26,18:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-D,2024-06-26,20:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN II-A,2024-06-26,18:42:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-E,2024-06-26,10:19:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-D,2024-06-26,00:55:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN I-C,2024-06-27,22:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO IV,2024-06-27,13:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-06-27,12:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN II-B,2024-06-28,17:50:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-B,2024-06-28,17:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PAG-ASA III,2024-06-28,14:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BAYAN LUMA I,2024-06-28,11:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
POBLACION I-A (POB.),2024-06-28,09:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
POBLACION I-A (POB.),2024-06-28,09:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
BUHAY NA TUBIG,2024-06-28,04:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUHAY NA TUBIG,2024-06-28,04:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
BUHAY NA TUBIG,2024-06-29,17:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PASONG BUAYA II,2024-06-29,18:55:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
TANZANG LUMA III,2024-06-29,20:05:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUCANDALA II,2024-06-29,14:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
BUCANDALA III,2024-06-29,13:25:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
TANZANG LUMA I,2024-06-29,09:57:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-06-30,20:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-06-30,20:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
BUHAY NA TUBIG,2024-06-30,16:12:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO IV,2024-06-30,12:05:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-A,2024-06-30,08:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ALAPAN II-B,2024-07-01,16:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO IV,2024-07-01,15:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CARSADANG BAGO II,2024-07-01,11:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
CARSADANG BAGO II,2024-07-01,11:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
MALAGASANG I-G,2024-07-01,09:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-G,2024-07-01,09:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
MALAGASANG I-G,2024-07-01,10:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PAG-ASA I,2024-07-01,08:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PAG-ASA I,2024-07-01,08:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU I-D,2024-07-01,02:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-D,2024-07-01,02:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
PAG-ASA III,2024-07-02,12:10:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU I-B,2024-07-02,15:12:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-B,2024-07-02,15:12:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
TANZANG LUMA I,2024-07-02,16:30:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU I-A,2024-07-02,17:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-A,2024-07-02,16:25:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-A,2024-07-02,07:20:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG II-A,2024-07-02,15:08:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU I-A,2024-07-02,14:19:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
PALICO III,2024-07-02,10:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-07-03,20:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
ANABU II-D,2024-07-03,20:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ALAPAN II-A,2024-07-03,17:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-G,2024-07-03,06:55:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG I-G,2024-07-03,06:55:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-A,2024-07-03,04:15:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
TANZANG LUMA V,2024-07-04,22:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
TANZANG LUMA V,2024-07-04,22:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
PASONG BUAYA I,2024-07-04,20:00:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG II-B,2024-07-04,21:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
MALAGASANG II-B,2024-07-04,21:40:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,Crimes Against Persons
ANABU II-D,2024-07-04,10:45:00,(Incident) Vehicular Accident,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,Crimes Against Property
